|nome_tema|genero|imagem|versos|words_in|lexico|ítimos|analise|notação|
|   [0]   |  [1] |  [2] |  [3] |   [4]  |  [5] |  [6] |  [7]  |  [8]  |

|Ais|ensaio|machina|5|10|163|147|275.148.900 (milhões)  |2,751 e+08|
|Amaré|poesia|persona|7|25|246|251|54.191.856.554.035.200 (quatrilhões)  |5,419 e+16|
|Anjos|poesia|machina|17|71|277|261|9.276.752.574.317.347.209.216.000.000.000 (nonilhões)  |9,277 e+30|
|Aolero|ensaio|anima|10|32|518|246|7.581.869.568.000 (trilhões)  |7,582 e+12|
|Arerir|ensaio|machina|5|5|192|196|9.229.440 (milhões)  |9,229 e+06|
|Astros|ensaio|esoteric|8|28|403|129|637.528.320 (milhões)  |6,375 e+08|
|Atido|poesia|anima|7|22|298|200|834.290.150.400 (bilhões)  |8,343 e+11|
|Augusto|poesia|machina|17|64|333|392|731.619.324.106.718.334.890.803.200.000.000.000.000 (undecilhões)  |7,316 e+38|
|Avevida|poesia|anima|3|12|306|268|2.122.788.864 (bilhões)  |2,123 e+09|
|Babel|ensaio|machina|1|nonono|nonono|2|1 (nonono)  |1, e+00|
|Batismo|metalinguagem|machina|4|16|82|51|32.640 (mil)  |3,264 e+04|
|Beaba|metalinguagem|machina|5|24|144|128|17.923.368.960.000 (trilhões)  |1,792 e+13|
|Becos|poesia|anima|11|33|338|264|298.456.756.332.134.400 (quatrilhões)  |2,985 e+17|
|Blablabla|metalinguagem|joco|3|10|501|270|24.360.000 (milhões)  |2,436 e+07|
|Bolero|poesia|author|11|26|935|418|157.517.650.667.520.000 (quatrilhões)  |1,575 e+17|
|Brado|joco|joco|6|21|257|168|747.242.496.000 (bilhões)  |7,472 e+11|
|Bula|joco|joco|3|12|193|142|85.503.600 (milhões)  |8,550 e+07|
|Cartaz|joco|joco|13|35|353|317|699.764.141.900.462.284.800.000 (sextilhões)  |6,998 e+23|
|Circular|poesia|anima|3|19|626|339|6.096.384.000 (bilhões)  |6,096 e+09|
|Ciuminho|poesia|beauty|8|30|1254|548|880.083.097.058.880.000 (quatrilhões)  |8,801 e+17|
|Clandestino|poesia|anima|11|33|296|118|15.490.911.744 (bilhões)  |1,549 e+10|
|Clarice|poesia|persona|10|45|169|85|54.432.000.000 (bilhões)  |5,443 e+10|
|Conto|poesia|anima|13|36|286|154|132.723.360.000.000 (trilhões)  |1,327 e+14|
|Cordel|metalinguagem|joco|4|18|179|138|1.048.110.000 (bilhões)  |1,048 e+09|
|Cromossomo|joco|joco|11|37|235|134|2.779.486.617.600 (trilhões)  |2,779 e+12|
|Cuores|poesia|persona|11|43|296|246|3.779.971.000.565.760.000.000 (sextilhões)  |3,78 e+21|
|Destinos|poesia|anima|11|38|753|627|6.778.327.515.640.192.512.000 (sextilhões)  |6,778 e+21|
|Distintos|poesia|anima|10|39|752|627|6.380.511.142.927.406.284.800 (sextilhões)  |6,381 e+21|
|Dolores|poesia|persona|11|40|597|293|247.676.194.022.400.000 (quatrilhões)  |2,477 e+17|
|Duralex|joco|machina|3|18|165|145|6.706.022.400 (bilhões)  |6,706 e+09|
|Elogio|poesia|anima|6|20|225|87|831.600 (mil)  |8,316 e+05|
|Enfrente|ensaio|persona|5|22|93|62|8.890.560 (milhões)  |8,891 e+06|
|Epitafiando|poesia|machina|7|30|768|434|50.484.814.969.680 (trilhões)  |5,048 e+13|
|Escriba|poesia|anima|14|60|396|236|425.301.477.100.093.440.000 (quintilhões)  |4,253 e+20|
|Essa|metalinguagem|anima|6|25|253|250|35.376.929.280.000 (trilhões)  |3,538 e+13|
|Essas|ensaio|persona|7|11|328|239|169.558.272.000 (bilhões)  |1,696 e+11|
|Esses|ensaio|machina|17|31|167|88|4.898.880 (milhões)  |4,899 e+06|
|Estudo|joco|joco|7|23|295|241|486.150.160.003.200 (trilhões)  |4,862 e+14|
|Fatos|poesia|machina|21|104|424|330|815.366.153.061.693.665.574.912.000.000 (octilhões)  |8,154 e+29|
|Feiras|metalinguagem|joco|11|45|418|247|1.024.215.895.987.200.000 (quintilhões)  |1,024 e+18|
|Festim|poesia|anima|9|38|272|147|476.150.875.200 (bilhões)  |4,762 e+11|
|Finalmentes|joco|esoteric|6|24|279|196|154.939.599.360.000 (trilhões)  |1,549 e+14|
|Frases|joco|joco|5|21|320|168|332.299.968 (milhões)  |3,323 e+08|
|Fugaz|poesia|anima|6|16|726|594|17.416.269.561.600.000 (quatrilhões)  |1,742 e+16|
|Gula|joco|joco|7|25|359|270|1.063.827.923.558.400 (quatrilhões)  |1,064 e+15|
|HaiKai|poesia|anima|3|13|964|572|493.936.934.400 (bilhões)  |4,939 e+11|
|i-Mundo|poesia|machina|8|28|283|232|925.981.061.677.056.000 (quatrilhões)  |9,26 e+17|
|Impar|ensaio|anima|5|25|69|63|653.184 (mil)  |6,532 e+05|
|Indolor|poesia|anima|11|41|643|386|468.886.830.572.160.000.000 (quintilhões)  |4,689 e+20|
|Inhos|poesia|anima|7|23|220|103|314.496.000 (milhões)  |3,145 e+08|
|Insano|joco|joco|7|26|228|140|1.100.736.000.000 (trilhões)  |1,101 e+12|
|Joker|joco|joco|4|21|175|144|547.714.379.520 (bilhões)  |5,477 e+11|
|Lato|poesia|author|11|38|320|283|43.937.882.486.784.000.000 (quintilhões)  |4,394 e+19|
|Leituras|metalinguagem|author|13|47|210|136|1.024.192.512.000.000 (quatrilhões)  |1,024 e+15|
|Liberta|poesia|anima|12|52|192|130|5.530.639.564.800 (trilhões)  |5,531 e+12|
|Loremipsum|ensaio|machina|10|37|83|38|414.720 (mil)  |4,147 e+05|
|Machbeth|poesia|persona|13|44|403|163|398.340.963.820.800 (trilhões)  |3,983 e+14|
|Machbrait|poesia|anima|17|63|515|206|106.563.309.679.411.200.000 (quintilhões)  |1,066 e+20|
|Manifesto|poesia|machina|17|90|667|507|27.941.438.662.973.671.531.004.544.079.311.667.200.000 (dodecilhões)  |2,794 e+40|
|Manusgrite|metalinguagem|joco|14|43|173|130|963.158.999.040.000 (trilhões)  |9,632 e+14|
|Manusgrito|metalinguagem|author|14|47|164|128|842.764.124.160.000 (trilhões)  |8,428 e+14|
|Meteoro|joco|joco|13|51|427|316|65.044.548.902.931.333.120.000 (sextilhões)  |6,504 e+22|
|Minuto|joco|esoteric|7|25|324|213|2.817.522.540.000 (trilhões)  |2,818 e+12|
|Mirante|poesia|persona|7|22|265|211|7.892.654.740.185.600 (quatrilhões)  |7,893 e+15|
|Nonono|ensaio|machina|11|40|1241|572|145.218.793.269.173.944.320.000 (sextilhões)  |1,452 e+23|
|Nós|poesia|machina|11|51|218|122|903.636.518.400 (bilhões)  |9,036 e+11|
|Oca|poesia|beauty|5|13|228|160|29.932.156.800 (bilhões)  |2,993 e+10|
|Ocio|joco|joco|17|77|568|385|29.717.837.074.855.467.417.600.000.000.000 (nonilhões)  |2,972 e+31|
|Oco|poesia|anima|5|13|227|159|26.606.361.600 (bilhões)  |2,661 e+10|
|Oficio|joco|author|20|77|573|475|57.110.137.135.498.442.550.804.480.000.000 (nonilhões)  |5,711 e+31|
|Ogiva|poesia|beauty|6|27|340|232|1.624.147.132.608.000 (quatrilhões)  |1,624 e+15|
|Olhares|poesia|persona|17|77|556|464|167.249.974.512.681.215.092.510.949.376.000.000 (decilhões)  |1,672 e+35|
|Palyndro|ensaio|machina|17|20|69|52|967.680 (mil)  |9,677 e+05|
|Papilio|poesia|persona|17|61|798|299|17.276.809.528.053.504.000 (quintilhões)  |1,728 e+19|
|Paroles|metalinguagem|machina|7|26|848|418|58.025.870.622.720.000 (quatrilhões)  |5,803 e+16|
|Passagens|poesia|machina|9|27|169|118|95.777.510.400 (bilhões)  |9,578 e+10|
|Perfil|joco|beauty|7|42|522|236|20.427.651.921.600.000 (quatrilhões)  |2,043 e+16|
|Pessoa|poesia|anima|9|29|121|58|4.665.600 (milhões)  |4,666 e+06|
|Portal|poesia|machina|8|29|562|298|1.754.298.589.680 (trilhões)  |1,754 e+12|
|Posfácio|poesia|anima|18|94|339|267|23.356.081.768.224.522.240.000.000 (setilhões)  |2,336 e+25|
|Preciso|poesia|joco|15|71|317|153|1.991.030.243.328.000 (quatrilhões)  |1,991 e+15|
|Prefácil|poesia|joco|17|51|379|310|8.113.087.959.898.521.600.000.000 (setilhões)  |8,113 e+24|
|Psiu|poesia|persona|5|20|714|322|3.464.123.520 (bilhões)  |3,464 e+09|
|Reger|poesia|anima|8|33|149|85|404.352.000 (milhões)  |4,044 e+08|
|Reinos|joco|joco|13|52|247|222|71.620.061.720.739.840 (quatrilhões)  |7,162 e+16|
|Remedeio|joco|joco|3|13|571|185|1.967.232 (milhões)  |1,967 e+06|
|Rever|poesia|anima|4|19|160|77|3.119.040 (milhões)  |3,119 e+06|
|Rito|joco|joco|5|13|207|169|57.550.500.000 (bilhões)  |5,755 e+10|
|Salute|joco|machina|6|23|709|267|32.637.136.896 (bilhões)  |3,264 e+10|
|Saudades|poesia|persona|7|21|281|181|7.420.616.146.944 (trilhões)  |7,421 e+12|
|Seguro|joco|joco|11|37|128|67|373.248.000 (milhões)  |3,732 e+08|
|Sentença|joco|anima|10|36|247|165|159.667.040.332.800 (trilhões)  |1,597 e+14|
|Ser|poesia|anima|9|20|174|82|1.028.160 (milhões)  |1,028 e+06|
|Silente|poesia|anima|11|49|361|254|313.233.575.510.016.000.000 (quintilhões)  |3,132 e+20|
|Sinais|poesia|anima|7|12|405|319|329.504.881.305.600 (trilhões)  |3,295 e+14|
|Sinas|ensaio|beauty|7|13|327|243|218.359.152.000 (bilhões)  |2,184 e+11|
|Sn6=ball|ensaio|machina|15|14|237|252|258.863.705.100.000 (trilhões)  |2,589 e+14|
|Sn8=ball|ensaio|machina|18|16|237|251|1.682.614.083.150.000 (quatrilhões)  |1,683 e+15|
|SnowBall|ensaio|machina|20|22|410|427|20.591.283.290.444.226.360.000.000 (setilhões)  |2,059 e+25|
|Sonoro|poesia|anima|3|7|104|90|1.192.320 (milhões)  |1,192 e+06|
|Sopros|poesia|anima|11|38|297|189|94.680.907.776.000.000 (quatrilhões)  |9,468 e+16|
|Sos|joco|joco|6|17|309|220|6.111.356.719.104 (trilhões)  |6,111 e+12|
|Tempo|poesia|machina|17|70|2407|1745|112.765.820.236.797.923.580.529.825.269.143.876.665.344.000.000.000 (quindecilhões)  |1,128 e+50|
|Tiro|metalinguagem|author|11|30|881|384|2.903.854.393.440.000.000 (quintilhões)  |2,904 e+18|
|Tolero|poesia|anima|17|41|913|420|6.372.790.375.311.360.000 (quintilhões)  |6,373 e+18|
|Usinas|poesia|anima|10|38|250|225|102.938.787.190.407.168.000 (quintilhões)  |1,029 e+20|
|Veio|poesia|anima|10|35|546|318|2.907.865.942.960.295.116.800 (sextilhões)  |2,908 e+21|
|Victor|poesia|anima|9|24|282|112|308.998.800 (milhões)  |3,09 e+08|
|Zelo|poesia|persona|7|27|726|246|151.240.320 (milhões)  |1,512 e+08|
|Zodiacaos|zodíaco|joco|16|75|477|375|14.365.992.237.323.928.993.792.000.000.000.000 (decilhões)  |1,437 e+34|
|Zoia|poesia|persona|17|75|614|484|23.297.836.384.021.203.533.168.640.000.000.000 (decilhões)  |2,33 e+34|
|Aquarius=f|zodíaco|esoteric|8|34|123|75|107.811.000 (milhões)  |1,078 e+08|
|Aquarius=m|zodíaco|esoteric|8|33|123|75|107.811.000 (milhões)  |1,078 e+08|
|Aries=f|zodíaco|esoteric|7|23|103|58|1.848.000 (milhões)  |1,848 e+06|
|Aries=m|zodíaco|esoteric|7|21|103|58|1.848.000 (milhões)  |1,848 e+06|
|Cancer=f|zodíaco|esoteric|7|32|140|82|30.965.760 (milhões)  |3,097 e+07|
|Cancer=m|zodíaco|esoteric|7|31|140|82|30.965.760 (milhões)  |3,097 e+07|
|Caprico=f|zodíaco|esoteric|9|41|137|86|459.841.536 (milhões)  |4,598 e+08|
